question,document
How can I tell if the Kestra flow YAML an AI generated is actually valid for my plugin version?,93a3e8b98c
"In Kestra, why would a BigQuery load task use destinationTable instead of separate projectId, dataset, and table fields?",93a3e8b98c
What is the safest way to check AI-generated Kestra YAML before I run it in my environment?,93a3e8b98c
"Does the Kestra Copilot know the current plugin schema better than a generic LLM, and is it safer for flow YAML?",93a3e8b98c
"Why do we keep an eye on token usage in Kestra flows, especially when the workflow runs on a schedule or in a loop?",a4adc70f41
How does checking token counts help with cost control when using LLM providers?,a4adc70f41
Can token usage data help improve prompts or reduce output size without hurting quality?,a4adc70f41
What’s the point of setting alerts or thresholds for token usage in a long-running Kestra workflow?,a4adc70f41
"Where in a Kestra AI task can we pull token usage from, and how can we use it in logs or dashboards?",a4adc70f41
Why am I getting the Docker Desktop error that says the path /tmp/... is not shared from the host when I start Kestra?,dd8b4c9fda
How can I let Docker Desktop access /tmp or /tmp/kestra-wd so the container can mount it?,dd8b4c9fda
Where do I add a host folder in Docker Desktop's file sharing settings to fix a mount denied error?,dd8b4c9fda
What steps do I need to follow in Docker Desktop after adding /tmp to the shared paths list?,dd8b4c9fda
"After changing Docker Desktop file sharing, do I need to rerun docker compose up -d for Kestra?",dd8b4c9fda
"For the Module 3 Kestra homework, what exactly should I upload to the public repo if most of the work was done in the UI?",f29f622684
"Do I need to submit the actual Kestra flow YAML files for Module 3, or is a README enough?",f29f622684
"If my homework was built inside Kestra, what should I put in the GitHub link field on the submission form?",f29f622684
"Should I include any scripts my Kestra flows use, or only the flow definitions themselves?",f29f622684
"Where should I place the Kestra homework files in the repo, and do the form answers go in the repo too?",f29f622684
Why am I getting `JSONDecodeError: Expecting value` when I try to parse the LLM output for ground-truth questions?,a3c7e1b4f9
How can I make the model return only valid JSON instead of a code block or extra text?,a3c7e1b4f9
What prompt should I use so the LLM gives me a JSON object with exactly 5 questions?,a3c7e1b4f9
Is there a better way than `json.loads(response)` for avoiding parse errors with LLM responses?,a3c7e1b4f9
"Does this JSON-only output trick work with other providers too, like Gemini or Groq?",a3c7e1b4f9
Why does my Jupyter kernel die when I try to embed the ground-truth data in the eval notebook?,b8f2d6a30c
What can I do if Codespaces runs out of RAM while loading the embedding model and the notebook crashes?,b8f2d6a30c
"Is there a smaller sentence-transformers model I can use instead of the default embedder, and will that affect the results?",b8f2d6a30c
"Can I move the embedding part out of the notebook so it doesn’t eat memory, and then load the vectors back later?",b8f2d6a30c
"How do I handle the ground-truth embeddings in batches to avoid memory issues, like freeing RAM between chunks?",b8f2d6a30c
Why do I still hit the Gemini quota even after adding a 4 second sleep between requests?,c1e9f4b820
What are the best alternatives if the free Gemini tier keeps stopping me while building the ground-truth data?,c1e9f4b820
"Would lowering the number of worker threads help with the rate limit problem, and if so how much should I reduce it?",c1e9f4b820
Is there a cheap paid model I can use instead of Gemini to generate the full dataset without running into limits so fast?,c1e9f4b820
How can I avoid losing my progress if the API cuts me off halfway through a long ground-truth generation run?,c1e9f4b820
"How do I fix the Windows error ""OSError: [WinError 126]"" when PyTorch says it can't load fbgemm.dll or one of its dependencies?",15e931476c
"If I get ""Error loading fbgemm.dll"" on Windows, what should I install to make torch work again?",15e931476c
"Is the fix for the missing fbgemm.dll dependency on Windows to install Visual C++ Redistributable, or do I need Visual Studio too?",15e931476c
"Why does PyTorch fail to import on Windows with a WinError 126 pointing to torch\lib\fbgemm.dll, and what's the quickest workaround?",15e931476c
I’m on Windows and torch throws a module-not-found error for fbgemm.dll; what setup is missing in my system?,15e931476c
"Why do I get ""could not translate host name postgres to address"" when I run prep.py, and what should I change in my .env file?",4b65d5542d
My psycopg2 OperationalError says the postgres host can’t be found. Is the fix just setting POSTGRES_HOST to localhost?,4b65d5542d
When running python prep.py I get a No such host is known error for postgres. How do I update the env config to make it work?,4b65d5542d
What should POSTGRES_HOST be set to if psycopg2 can’t resolve postgres while executing prep.py?,4b65d5542d
I’m seeing an OperationalError about the postgres host during prep.py. Which .env value needs to be changed to solve it?,4b65d5542d
How can I make Pandas show the full text in a column instead of cutting it off?,641aedbbf5
What setting do I change in Pandas to see the whole Explanation field in the offline-rag-evaluation notebook?,641aedbbf5
"Why does Pandas shorten long text in a dataframe column, and how do I turn that off?",641aedbbf5
"Is there a way to stop Pandas from using ""..."" when a text column is too long?",641aedbbf5
What code should I use if I want Pandas to display unlimited column width for long explanations?,641aedbbf5
How can I normalize a vector stored in a pandas DataFrame column?,5039707c1a
What's the easiest way to make each vector in a pandas Series have length 1?,5039707c1a
Can I use NumPy to normalize values in a DataFrame column with apply()?,5039707c1a
How do I create a new column with normalized vectors from an existing one?,5039707c1a
Is there a simple lambda function for normalizing vectors in pandas?,5039707c1a
How do I get the 75th percentile of a Pandas column?,b4c8ac5a0c
What’s the Pandas way to calculate a quantile for a Series?,b4c8ac5a0c
How can I compute the 0.75 quantile from a DataFrame column?,b4c8ac5a0c
Is there a simple method to find percentiles in Pandas?,b4c8ac5a0c
What code do I use to get a column’s percentile value in Pandas?,b4c8ac5a0c
"How do I wipe out every Docker container, even the running ones, from the terminal?",66ccbb7da0
What’s the command to force-remove all Docker images at once?,66ccbb7da0
How can I delete all Docker volumes using the command line?,66ccbb7da0
Is there a quick way to clean up my Docker setup by removing containers and images in one go?,66ccbb7da0
"What terminal commands should I run to clear out all containers, images, and volumes in Docker?",66ccbb7da0
"How can I make Streamlit let a user vote only once per submission, like just one +1 or -1 feedback after clicking ask?",2e729f1271
Why does `st.session.submitted` keep getting set back to True even after I press one of the feedback buttons?,2e729f1271
"In Streamlit, how do I stop the feedback buttons from staying active when `st.session.submitted` should be False?",2e729f1271
What’s the fix for session state being reassigned in Streamlit when I try to disable buttons after a user submits text?,2e729f1271
Is there a known solution for the Streamlit session attribute issue where submitted gets overwritten after feedback is given?,2e729f1271
"Why do I get ""streamlit: executable file not found in $PATH"" when starting my app with docker-compose, even though it works locally?",e8df9f0d12
What am I missing in my Docker setup if docker-compose fails to launch a Streamlit app with that OCI runtime error?,e8df9f0d12
"Do I need a Dockerfile for Streamlit to run properly inside docker-compose, and how should I start it again after fixing it?",e8df9f0d12
How can I fix the container error where Docker says it can't find the streamlit executable during compose up?,e8df9f0d12
"If Streamlit works outside Docker but not in compose, what should I add to my config and what command should I run to rebuild?",e8df9f0d12
"Can I do the capstone with a partner, or does each person need to submit their own project?",0fab61eca2
"If a team wants to build one bigger system, how does that work for the capstone?",0fab61eca2
Is it okay to discuss ideas or collaborate with other students while working on the project?,0fab61eca2
What happens if multiple people are using the same repo for the capstone?,0fab61eca2
How separate do the projects need to be if we start from a shared idea or system?,0fab61eca2
"Do I need to submit two capstone projects, or is one enough?",d5fc98925d
What exactly do attempt 1 and attempt 2 mean for the capstone submission?,d5fc98925d
"If my first submission gets rejected, can I fix it and send it again later?",d5fc98925d
Can I skip the attempt 1 deadline and just submit in attempt 2 instead?,d5fc98925d
"If I decide to submit two projects, do they need to be based on different data and a different problem?",d5fc98925d
"Can I use the competition as my capstone project, or are they separate?",e892d44e42
Is the math Kaggle LLM competition something I can do with a team?,e892d44e42
"Does the capstone have to be done solo, even if I join the competition with others?",e892d44e42
"If I participate in the LLM competition, does that count toward the capstone requirement?",e892d44e42
"Are group submissions allowed for the capstone, or only for the competition?",e892d44e42
How will the capstone project be graded in this course?,9a2e2d2008
Who checks my submitted project after I turn it in?,9a2e2d2008
Do I also need to review other students' capstone projects?,9a2e2d2008
What happens if I don't do the required peer reviews?,9a2e2d2008
Is the final project score based on the average or something else?,9a2e2d2008
"When do we get assigned projects for review, and what’s the process after the deadline?",eae0fb50aa
How many capstone projects will each person need to grade or review?,eae0fb50aa
Will the review assignments be given before or after submissions close?,eae0fb50aa
What format will the project assignment list come in?,eae0fb50aa
"Do we get a spreadsheet with the grading assignments, and how many projects will it include per participant?",eae0fb50aa
"I already submitted my capstone project, but why don’t I see anything to review yet?",a8a7fef016
When will the projects be assigned to us for evaluation after the deadline?,a8a7fef016
"Can I pick which capstone projects I want to review, or are they assigned automatically?",a8a7fef016
Is it normal that I can’t review other projects before the project list is released?,a8a7fef016
I finished my submission—why is the review section still empty on my side?,a8a7fef016
Where can I look for project ideas and datasets for the capstone?,e76a70cde3
Is there a page with suggested datasets I can use for the project?,e76a70cde3
How do I find good ideas for the capstone project in this course?,e76a70cde3
Do you have any tips or guidelines plus dataset ideas in one place?,e76a70cde3
Can I get a link to a page with project suggestions and data sources?,e76a70cde3
"Do I really need Airflow, Mage, or Kestra for the capstone project, or is a simple Python script enough?",d4f7c08ea1
"If I build the ingestion and indexing in a notebook, will that still count for the full pipeline points?",d4f7c08ea1
"Should I add an orchestration tool just to get the ingestion pipeline criterion, or is that unnecessary?",d4f7c08ea1
When does it make sense to use an orchestrator in the capstone instead of plain Python?,d4f7c08ea1
"If my data source updates every day, is that a good reason to use Airflow or another orchestrator in the project?",d4f7c08ea1
How can I evaluate a recommender-style RAG project when there isn’t any clear ground-truth Q&A data?,9b0e2d6a47
What’s a good way to create synthetic test queries for items in my dataset so I can check retrieval quality?,9b0e2d6a47
"For ranking-style RAG systems, should I use hit rate, MRR, or NDCG — and why would NDCG be better?",9b0e2d6a47
"Can I use an LLM to judge the quality of RAG answers end to end, and how would I set that up?",9b0e2d6a47
"If multiple results are acceptable in my recommender RAG, how do I score relevance without treating only the first result as correct?",9b0e2d6a47
How should I chunk really long PDFs or docs for my RAG project without overthinking it?,6f2a8b3d10
"Is it okay to start with simple fixed-size chunks, or do I need some smarter split right away?",6f2a8b3d10
Would it help to have an LLM split a document into sections before I index it?,6f2a8b3d10
"Can adding a short summary to each chunk improve retrieval, and how would I use it?",6f2a8b3d10
"For legal or financial documents, should I use plain semantic search or a hybrid setup with BM25?",6f2a8b3d10
What exactly do you mean by reproducibility in the capstone project?,e5d8a2c761
Do I need to put my API keys or other hosted-service credentials in the repo for reviewers?,e5d8a2c761
How should I let someone rebuild the search index from my project from scratch?,e5d8a2c761
What’s the right way to handle environment variables if I’m using external APIs?,e5d8a2c761
Should I use a cheap model and lock dependency versions so reviewers can run my project without issues?,e5d8a2c761
"Is it okay if I do the homework in JavaScript instead of Python, or do I really need to stick to Python?",ea815eb858
"Can I build my capstone project with Go, Rust, Java, or another stack, or is Python expected everywhere?",ea815eb858
"If I use a non-Python language for the project, what kind of setup instructions should I put in the README so the reviewer can run it?",ea815eb858
Why does the course seem to prefer Python for assignments and the final project instead of other languages?,ea815eb858
What should I include in my submission if I choose a language like TypeScript or R so it’s still easy to review and reproduce?,ea815eb858
Where do I see past LLM Zoomcamp capstone projects to get an idea of what’s expected?,930286278d
Is there a page with previous project submissions for LLM Zoomcamp?,930286278d
Can I look at old LLM Zoomcamp projects before starting my own capstone?,930286278d
Where are the 2024 and 2025 LLM Zoomcamp project examples listed?,930286278d
Is there a gallery or list of submitted LLM Zoomcamp repositories from earlier cohorts?,930286278d
Do I need to reserve or announce my capstone project idea before I start working on it?,897a350476
"Should I post my project topic somewhere first, or can I just begin without claiming it?",897a350476
"If I have an idea for the project, do I need to make sure nobody else is using the same one?",897a350476
"Can two students do similar capstone project topics, or does it have to be unique?",897a350476
"Where can I get feedback on my project idea before I start, if I want to check the scope?",897a350476
Can I build my capstone as a Telegram or WhatsApp bot instead of a web app?,7318a90b14
"Is there any required interface for the project, or can I choose whatever works best?",7318a90b14
"Would a CLI, Slack app, or notebook count as a valid way to present the project?",7318a90b14
"Do you give instructions on how to create the interface, or is that something I need to handle myself?",7318a90b14
"As long as my project meets the evaluation criteria, can I expose it through any user interface I want?",7318a90b14
What tool should I use to pull text out of PDFs for my RAG app?,d8b28c47a0
Is there a good library for scanned PDFs or OCR when building RAG?,d8b28c47a0
"Should I use docling, PyMuPDF, or unstructured for document text extraction?",d8b28c47a0
What do people recommend for OCR on image-based PDFs with no text layer?,d8b28c47a0
"Do I need to follow one specific PDF extraction tool in the course, or can I choose whatever works best?",d8b28c47a0
"Can I reuse the workshop content in my own capstone project, or is it only for the class?",d850a0e7ea
Is it okay to take ideas or code from this dlt workshop and use them in a different project?,d850a0e7ea
"Can I apply dlt from this workshop in another Zoomcamp project, like the MLOps one?",d850a0e7ea
"Since dlt is open source, am I allowed to build on this material for my own work?",d850a0e7ea
"If I have questions, can I ask about using the workshop stuff directly in my projects?",d850a0e7ea
How do I initialize a fresh dlt project for cloud file loading?,6bceeebf04
What command should I run to start a new dlt setup with filesystem and duckdb?,6bceeebf04
I'm trying to load from cloud storage — how do I create the dlt project first?,6bceeebf04
What’s the quick way to bootstrap a dlt pipeline using filesystem and duckdb?,6bceeebf04
"Where do I begin if I want to set up dlt for loading cloud data, and what init command should I use?",6bceeebf04
"Why do I get `FileNotFoundError: Table notion_pages___homework does not exist` when I call `db.open_table(""notion_pages___homework"")`?",0407213397
"I changed the table name to `notion_pages___homework`, but it still says the table doesn't exist. What am I missing in the pipeline setup?",0407213397
How can I fix the `db.create_table(...)` error after renaming my dlt table from `employee_handbook` to `homework`?,0407213397
"If `db.open_table(""notion_pages___homework"")` fails, does that mean I forgot to update something else besides the table name?",0407213397
What should I check in my dlt pipeline if the homework table name was renamed but opening the table still throws `FileNotFoundError`?,0407213397
Why do I get `FileNotFoundError: Table notion_pages___homework does not exist` when I run `main()`?,e95bfafc0e
"How do I fix the error saying I should call `db.create_table(notion_pages___homework, data)` first?",e95bfafc0e
"In the dlt workshop code, what table name should I open on line 3 for the homework?",e95bfafc0e
My script crashes with a missing table error for `notion_pages___homework` — what am I doing wrong?,e95bfafc0e
What should the `db.open_table(...)` line look like if I want to use the homework table?,e95bfafc0e
How can I see what tables are currently in the database?,e394e6f738
Is there a quick way to list all tables in the db?,e394e6f738
What method should I use to get the names of every table?,e394e6f738
How do I check which tables exist in my database?,e394e6f738
Can I print out the table names from the database somehow?,e394e6f738
Does dlt already support ClickHouse or StarRocks connectors?,cd19f122f3
Can I use dlt to load data into ClickHouse or StarRocks right now?,cd19f122f3
Are there any built-in connectors in dlt for ClickHouse and StarRocks?,cd19f122f3
"If dlt doesn't support ClickHouse or StarRocks, can the community add them?",cd19f122f3
Is there a plan to get ClickHouse or StarRocks connectors in dlt?,cd19f122f3
"Why am I getting a 401 Unauthorized error when the notebook tries to call Notion API, and what should I check first?",0dfba07ace
"If my notebook says it doesn’t have secret access for api.notion.com/v1/search, could this be a bad token or permission issue?",0dfba07ace
What are the usual reasons Notion API requests fail with unauthorized in the dlt workshop notebook?,0dfba07ace
"How do I fix a Notion client error 401 in the open-source data ingestion notebook — is it usually the key, endpoint, or token?",0dfba07ace
My notebook can’t access Notion and throws an auth error; what settings or credentials should I verify?,0dfba07ace
How do I get requests v2.32.3 installed for lancedb instead of the old 2.28 version?,4b30b918bc
Is there a way to force pip to install requests from the GitHub zip URL?,4b30b918bc
Why does my setup keep pulling requests 2.28 when the project needs 2.32.3?,4b30b918bc
What command should I run to install the exact requests version from source?,4b30b918bc
"If I see a 401 Client Error during this, does it mean my key is wrong or access needs to be granted?",4b30b918bc
